segment,location,pressure,flow,acoustic,time
Guwahati → Dimapur,"(26.1445, 91.7362)",50.22695852834826,87.97826818669154,34.764195149466005,1739875353.1889448
Guwahati → Dimapur,"(26.08495, 92.23405)",54.82563306608341,118.18522388510118,21.830804543515114,1739875353.188948
Guwahati → Dimapur,"(26.0254, 92.7319)",40.43826847785638,78.79047491992199,30.09612584010857,1739875353.188951
Guwahati → Dimapur,"(25.965850000000003, 93.22975)",48.02610067533118,94.68060603914023,29.78892017836708,1739875353.1889532
Guwahati → Dimapur,"(25.9063, 93.7276)",57.40769313066565,114.38498385356091,32.719998879377314,1739875353.188956
Dimapur → Kohima,"(25.9063, 93.7276)",41.21809943539722,118.04670801750983,34.72752986819655,1739875353.1890078
Dimapur → Kohima,"(25.8484, 93.82284999999999)",50.27855160193102,104.20694164230132,26.36496365598702,1739875353.1890109
Dimapur → Kohima,"(25.7905, 93.9181)",44.11661595627966,102.54545110067498,29.274176343184127,1739875353.189013
Dimapur → Kohima,"(25.7326, 94.01335)",48.29795536185577,103.38099072302231,30.298117078618237,1739875353.1890152
Dimapur → Kohima,"(25.6747, 94.1086)",52.40812309620858,123.57016566080762,32.70411783447817,1739875353.189018
Kohima → Imphal,"(25.6747, 94.1086)",49.09849492629234,104.24634769500818,28.754115797923703,1739875353.189054
Kohima → Imphal,"(25.460275000000003, 94.06565)",48.300177644917916,91.08538035972734,25.564975359069063,1739875353.189057
Kohima → Imphal,"(25.24585, 94.0227)",56.04058209717968,104.96296052003485,36.65174055504346,1739875353.189059
Kohima → Imphal,"(25.031425, 93.97975)",50.10913756659577,102.0747201610924,33.17225826615445,1739875353.1890612
Kohima → Imphal,"(24.817, 93.9368)",49.57965119215918,98.13895346624246,29.45823089548077,1739875353.189064
Guwahati → Dimapur,"(26.1445, 91.7362)",49.34893483334395,97.13188362841855,29.084738813921547,1739875388.250904
Guwahati → Dimapur,"(26.08495, 92.23405)",48.4528949787248,98.92794123506646,30.511175716931255,1739875388.250908
Guwahati → Dimapur,"(26.0254, 92.7319)",56.008738144424306,86.55410779717816,32.811375308917974,1739875388.25091
Guwahati → Dimapur,"(25.965850000000003, 93.22975)",49.223193858734376,103.84369814090148,32.339712718877465,1739875388.250912
Guwahati → Dimapur,"(25.9063, 93.7276)",59.37585498537726,106.27259447519762,31.026829628819726,1739875388.250915
Dimapur → Kohima,"(25.9063, 93.7276)",43.08681391550631,90.02258776653501,27.130267398881703,1739875388.250957
Dimapur → Kohima,"(25.8484, 93.82284999999999)",50.300350272526714,103.64329022998216,33.04056018370014,1739875388.2509592
Dimapur → Kohima,"(25.7905, 93.9181)",43.65932273212113,86.51976983424561,30.88860848391021,1739875388.250962
Dimapur → Kohima,"(25.7326, 94.01335)",57.86930198206395,101.72391308197746,31.386742234468144,1739875388.250964
Dimapur → Kohima,"(25.6747, 94.1086)",50.888071086287866,84.50516875676134,27.79229530999997,1739875388.250967
Kohima → Imphal,"(25.6747, 94.1086)",46.75726262173781,114.31058009194979,28.784543582135957,1739875388.250993
Kohima → Imphal,"(25.460275000000003, 94.06565)",53.38779133044576,108.7396910180778,26.265665139456978,1739875388.250995
Kohima → Imphal,"(25.24585, 94.0227)",53.16529790397648,101.10156358603716,29.968187183597088,1739875388.250997
Kohima → Imphal,"(25.031425, 93.97975)",38.110974684548104,88.59603929173463,30.079018335207,1739875388.2510002
